CD_MUN,NM_MUN,Quantidade de moradores,Sexo masculino,Sexo feminino,"Sexo masculino, 0 a 4 anos","Sexo masculino, 5 a 9 anos","Sexo masculino, 10 a 14 anos","Sexo masculino, 15 a 19 anos","Sexo masculino, 20 a 24 anos","Sexo masculino, 25 a 29 anos","Sexo masculino, 30 a 39 anos","Sexo masculino, 40 a 49 anos","Sexo masculino, 50 a 59 anos","Sexo masculino, 60 a 69 anos","Sexo masculino, 70 anos ou mais","Sexo feminino, 0 a 4 anos","Sexo feminino, 5 a 9 anos","Sexo feminino, 10 a 14 anos","Sexo feminino, 15 a 19 anos","Sexo feminino, 20 a 24 anos","Sexo feminino, 25 a 29 anos","Sexo feminino, 30 a 39 anos","Sexo feminino, 40 a 49 anos","Sexo feminino, 50 a 59 anos","Sexo feminino, 60 a 69 anos","Sexo feminino, 70 anos ou mais",0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 anos ou mais
2100055,Açailândia,106298,52372,53926,4125,4394,4374,5013,4485,3944,8295,7127,4966,3046,2337,4009,4156,4397,4841,4349,4259,9008,7600,5250,3278,2506,8175,8594,8796,9873,8879,8252,17319,14744,10252,6382,4933
2100105,Afonso Cunha,6144,3131,3013,296,333,347,323,241,227,443,343,254,186,138,270,303,284,345,250,249,401,352,231,182,146,566,636,631,668,491,476,844,695,485,368,284
2100154,Água Doce do Maranhão,12142,6210,5932,487,461,555,598,463,441,896,842,636,382,426,435,459,486,562,473,448,920,770,593,378,374,933,928,1041,1163,948,892,1816,1612,1231,771,803
2100204,Alcântara,18431,9380,9051,568,610,775,857,651,541,1251,1222,983,709,620,524,598,724,716,543,485,1377,1178,983,723,563,1175,1274,1561,1643,1286,1122,2685,2494,2040,1530,1264
2100303,Aldeias Altas,23286,11665,11621,1093,1122,1313,1294,918,762,1572,1325,904,766,557,1061,1022,1234,1202,976,796,1719,1276,1017,712,570,2161,2154,2557,2500,1902,1561,3295,2602,1925,1481,1137
2100402,Altamira do Maranhão,6447,3264,3183,249,243,258,308,274,231,489,413,333,241,196,251,228,245,276,254,203,440,445,369,230,220,506,483,506,586,529,437,933,860,704,475,416
2100436,Alto Alegre do Maranhão,24048,11850,12198,1011,1035,1186,1234,1021,849,1703,1395,987,773,613,945,956,1092,1185,1037,891,1968,1502,1138,769,645,1960,2007,2288,2424,2064,1750,3674,2904,2132,1549,1272
2100477,Alto Alegre do Pindaré,25710,12972,12738,1094,1180,1388,1424,1019,862,1772,1521,1106,791,772,1107,1144,1239,1276,973,860,1820,1622,1086,839,719,2214,2332,2638,2705,2000,1728,3595,3145,2195,1634,1514
2100501,Alto Parnaíba,11106,5747,5359,436,461,513,510,484,464,921,651,508,410,287,426,445,477,539,430,398,787,577,460,387,291,882,927,1012,1075,936,869,1718,1242,988,816,605
2100550,Amapá do Maranhão,7170,3655,3515,321,343,371,397,341,277,537,419,261,205,174,322,326,370,348,334,269,534,405,270,184,146,645,669,741,745,675,548,1071,826,531,391,324
