"DT_GERACAO";"HH_GERACAO";"NR_ANO_REFERENCIA";"CD_ELEICAO";"NM_URNA";"NR_CANDIDATO";"SG_UF_UA";"SG_UE";"NM_UE_UA";"CONTRATANTE";"NR_CPF_CNPJ_EMITENTE";"CD_NATUREZA_OPERACAO";"CD_MODELO";"NM_UNIDADE_ARRECADADORA";"DT_EMISSAO";"NR_NOTA_FISCAL";"NR_SERIE";"VR_NOTA_FISCAL";"NR_CHAVE_ACESSO";"NM_URL_ACESSO"
"26/12/2023";"12:02:27";2022;546;"PARÁ FIGUEIREDO";22111;"MA";"MA";"MARANHÃO";"Titular";"13090943000102";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-14 00:00:00";774;"001";4900.0;"00000021220913090943000102550010000007741546817188";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"PASTOR CAVALCANTE";5522;"MA";"MA";"MARANHÃO";"Titular";"04496308000120";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-06 00:00:00";2120;"001";161450.0;"00000021220904496308000120550010000021201642257228";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"PASTOR CAVALCANTE";5522;"MA";"MA";"MARANHÃO";"Titular";"31379339000174";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-30 00:00:00";2030;"002";1467.9;"00000021220931379339000174550020000020301339023249";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"PASTOR CAVALCANTE";5522;"MA";"MA";"MARANHÃO";"Titular";"31379339000174";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-30 00:00:00";2031;"002";1467.9;"00000021220931379339000174550020000020311936255732";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"CÉLIO REI DO CAVALO";36777;"MA";"MA";"MARANHÃO";"Titular";"04496308000120";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-29 00:00:00";2170;"001";1000.0;"00000021220904496308000120550010000021701078426837";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"CÉLIO REI DO CAVALO";36777;"MA";"MA";"MARANHÃO";"Titular";"04496308000120";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-12 00:00:00";2130;"001";1200.0;"00000021220904496308000120550010000021301043678010";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"CÉLIO REI DO CAVALO";36777;"MA";"MA";"MARANHÃO";"Titular";"35123447001961";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-09 00:00:00";39262;"001";150.0;"00000021220935123447001961550010000392621123507836";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
"26/12/2023";"12:02:27";2022;546;"CÉLIO REI DO CAVALO";36777;"MA";"MA";"IMPERATRIZ";"Titular";"12048082000123";"SERV";"0A";"PREFEITURA MUNICIPAL DE IMPERATRIZ";"0022-09-06 00:00:00";202200000000008;"   ";300.0;"000000000000000000000000000000000000000003TX7-2DTR";"#NULO"
"26/12/2023";"12:02:27";2022;546;"PROFESSOR ROBERTO BRANDÃO";2333;"MA";"MA";"SÃO LUÍS";"Titular";"26611134000132";"SERV";"03";"PREFEITURA MUNICIPAL DE SÃO LUÍS";"0022-08-24 00:00:00";138;"001";60600.0;"91FE5D5E9A2335912149C7D6239FC490";"https://stm.semfaz.saoluis.ma.gov.br/credenciamento/jsp/validacaonota/index.jsf"
"26/12/2023";"12:02:27";2022;546;"PROFESSOR ROBERTO BRANDÃO";2333;"MA";"MA";"MARANHÃO";"Titular";"03205789000105";"VEND";"55";"SECRETARIA DA FAZENDA DO ESTADO DO MARANHÃO";"0022-09-30 00:00:00";6063;"001";3000.0;"00000021220903205789000105550010000060631604389620";"http://www.nfe.fazenda.gov.br/portal/consultaRecaptcha.aspx?tipoConsulta=resumo&tipoConteudo=7PhJ+gAVw2g="
